Olympics2018 SpeedSkating AlpineSkiing Skeleton SkiJumping FigureSkating Biathlon
SpeedSkating Mens1000m Mens1500m Womens500m Womens3000m
AlpineSkiing MensSlalom MensDownhill WomensSlalom WomensDownhill
Skeleton Mens Womens
SkiJumping MensNH WomensNH
FigureSkating MenSingleSkating WomenSingleSkating
Biathlon Mens10kmSprint Womens10kmPursuit
Mens1000m KjeldNuis:Netherlands HavardHolmefjordLorentzen:Norway KimTaeyun:SouthKorea
Mens1500m KjeldNuis:Netherlands PatrickRoest:Netherlands KimMinseok:SouthKorea
Womens500m NaoKodaira:Japan LeeSanghwa:SouthKorea KarolinaErbanova:CzechRepublic
Womens3000m CarlijnAchtereekte:Netherlands IreenWust:Netherlands AntoinetteDeJong:Netherlands
MensSlalom AndreMyhrer:Sweden RamonZenhausern:Switzerland MichaelMatt:Austria
MensDownhill AkselLundSvindal:Norway KjetilJansrud:Norway BeatFeuz:Switzerland
WomensSlalom FridaHansdotter:Sweden WendyHoldener:Switzerland KatharinaGallhuber:Austria
WomensDownhill SofiaGoggia:Italy RagnhildMowinckel:Norway LindseyVonn:USA
Mens YunSungBin:SouthKorea NikitaTregubov:OAR DominicParsons:GreatBritain
Womens LizzyYarnold:GreatBritain JacquelineLolling:Germany LauraDeas:GreatBritain
MensNH AndreasWellinger:Germany JohannAndreForfang:Norway RobertJohansson:Norway
WomensNH MarenLundby:Norway KatharinaAlthaus:Germany SaraTakanashi:Japan
MenSingleSkating YuzuruHanyu:Japan ShomaUno:Japan JavierFernandez:Spain
WomenSingleSkating AlinaZagitova:OAR EvgeniaMedvedeva:OAR KaetlynOsmond:Canada
Mens10kmSprint ArndPeiffer:Germany MichalKrcmar:CzechRepublic DominikWindisch:Italy
Womens10kmPursuit LauraDahlmeier:Germany AnastasiyaKuzmina:Slovakia AnaisBescond:France
